;projectID;topic;title
72;101090310;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
73;101079177;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
74;101086923;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
75;101056828;HORIZON-WIDERA-2021-ERA-01-09;Support for policy makers – Programme level collaboration between national R&I programmes
76;101071560;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
77;101087535;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
78;101072183;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
79;101071928;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
80;101079003;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
81;101079417;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
82;101072251;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
83;101079142;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
84;101079488;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
85;101079256;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
86;101079181;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
87;101087181;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
88;101071330;HORIZON-WIDERA-2021-ACCESS-05-01;Capacity building to strengthen networks of higher education institutions and cooperation with surrounding ecosystems
89;101081181;HORIZON-WIDERA-2022-WIRE-IBA;Presidency conferences with a European regional dimension - WIRE
90;101096505;HORIZON-EIE-2022-CONNECT-01-01;Towards more inclusive networks and initiatives in European innovation ecosystems
91;101097010;HORIZON-EIE-2022-CONNECT-01-01;Towards more inclusive networks and initiatives in European innovation ecosystems
92;101095912;HORIZON-EIE-2022-CONNECT-01-01;Towards more inclusive networks and initiatives in European innovation ecosystems
93;101071314;HORIZON-WIDERA-2021-ACCESS-05-01;Capacity building to strengthen networks of higher education institutions and cooperation with surrounding ecosystems
94;101058537;HORIZON-WIDERA-2021-ERA-01-80;Centre of excellence on inclusive gender equality in Research & Innovation
95;101058398;HORIZON-INFRA-2021-DEV-01-04;Support to National Contact Points (NCPs) for Research Infrastructures
96;101077207;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
97;101090308;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
98;101052247;HORIZON-WIDERA-2021-ESOF-IBA;The EuroScience Open Forum (ESOF) and European City of Science 2022 actions
99;101057253;HORIZON-WIDERA-2021-ERA-01-44;Societal trust in science, research and innovation
100;101058393;HORIZON-WIDERA-2021-ERA-01-41;Global cooperation on FAIR data policy and practice
101;101094435;HORIZON-WIDERA-2022-ERA-01-40;Stepping-up institutional and territorial changes towards open and responsible research and innovation
102;101095322;HORIZON-WIDERA-2022-ERA-01-10;Support for policy makers – Programme level collaboration between national R&I programmes
103;101095017;HORIZON-WIDERA-2022-ERA-01-30;Testing of the ERA Hub concept – pilot phase
104;101093387;HORIZON-WIDERA-2022-ERA-01-70;Open schooling for science education and a learning continuum for all
105;101094391;HORIZON-WIDERA-2022-ERA-01-81;Support to the implementation of inclusive gender equality plans
106;101094340;HORIZON-WIDERA-2022-ERA-01-10;Support for policy makers – Programme level collaboration between national R&I programmes
107;101094812;HORIZON-WIDERA-2022-ERA-01-80;Living Lab for gender-responsive innovation
108;101095083;HORIZON-WIDERA-2022-ERA-01-51;Acceleration Services in support of the institutional transformation of Higher Education Institutions
109;101095292;HORIZON-WIDERA-2022-ERA-01-50;Developing an effective ERA talent pipeline
110;101059853;HORIZON-EURATOM-2021-NRT-01-01;Safety of operating nuclear power plants and research reactors
111;101061251;HORIZON-EURATOM-2021-NRT-01-11;Cross-sectoral synergies and new applications of nuclear technologies
112;101094714;HORIZON-WIDERA-2022-ERA-01-91;The empirical and behavioural approach to research ethics and integrity
113;101079069;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
114;101079473;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
115;101058623;HORIZON-WIDERA-2021-ERA-01-44;Societal trust in science, research and innovation
116;101059369;HORIZON-WIDERA-2021-ACCESS-02-01;Twinning Western Balkans Special
117;101058405;HORIZON-WIDERA-2021-ERA-01-70;Developing a STE(A)M roadmap for Science Education in Horizon Europe
118;101094529;HORIZON-WIDERA-2022-ERA-01-81;Support to the implementation of inclusive gender equality plans
119;101094270;HORIZON-WIDERA-2022-ERA-01-42;Supporting the development of aligned policies for open access books and monographs
120;101090271;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
121;101071507;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
122;101078935;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
123;101071517;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
124;101071842;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
125;101078991;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
126;190167786;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
127;190182335;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
128;190129138;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
129;101046231;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
130;190133662;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
131;190174417;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01;Strategic Digital and Health Technologies
132;101057672;HORIZON-EIC-2021-TRANSITIONCHALLENGES-01-01;Medical Technology and Devices: from Lab to Patient
133;190143500;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
134;190170931;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
135;190100402;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
136;190103391;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
137;190136402;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
138;101046458;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
139;190138275;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
140;190157289;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
141;190181809;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01;Strategic Digital and Health Technologies
142;101070788;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-04;Novel routes to green hydrogen production
143;190165249;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
144;101075818;HORIZON-EIC-2021-EEN-01-01;Cooperation with EEN
145;190131747;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
146;190181549;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
147;190183888;HORIZON-EIC-2022-ACCELERATORCHALLENGES-02;EIC Accelerator Challenge: Technologies for ‘Fit for 55’
148;190141200;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
149;101046748;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
150;190115994;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
151;190193416;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
152;190115232;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
153;101099481;HORIZON-EIC-2022-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2022
