;projectID;topic;title
30604;655770;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30605;723037;MG-8.6-2016;Innovation awards for students and researchers in the context of the Transport Research Arena conference - TRA 2018
30606;101023220;MSCA-IF-2020;Individual Fellowships
30607;638364;ERC-StG-2014;ERC Starting Grant
30608;101026217;MSCA-IF-2020;Individual Fellowships
30609;101002697;ERC-2020-COG;ERC CONSOLIDATOR GRANTS
30610;818996;ERC-2018-COG;ERC Consolidator Grant
30611;101001594;ERC-2020-COG;ERC CONSOLIDATOR GRANTS
30612;834999;ERC-2018-ADG;ERC Advanced Grant
30613;633635;PHC-10-2014;Development of new diagnostic tools and technologies: in vitro devices, assays and platforms
30614;715940;ERC-2016-STG;ERC Starting Grant
30615;715282;ERC-2016-STG;ERC Starting Grant
30616;838703;MSCA-IF-2018;Individual Fellowships
30617;640213;MG-9.7-2014;Innovation awards for students and researchers in the context of the Transport Research Arena conference - TRA 2016
30618;101022757;MSCA-IF-2020;Individual Fellowships
30619;895213;MSCA-IF-2019;Individual Fellowships
30620;833135;ERC-2018-ADG;ERC Advanced Grant
30621;638605;ERC-StG-2014;ERC Starting Grant
30622;670239;ERC-ADG-2014;ERC Advanced Grant
30623;948548;ERC-2020-STG;ERC STARTING GRANTS
30624;890615;MSCA-IF-2019;Individual Fellowships
30625;886793;MSCA-IF-2019;Individual Fellowships
30626;659338;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30627;656161;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30628;843265;MSCA-IF-2018;Individual Fellowships
30629;843794;MSCA-IF-2018;Individual Fellowships
30630;832501;MSCA-IF-2018;Individual Fellowships
30631;657522;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30632;845956;MSCA-IF-2018;Individual Fellowships
30633;734753;MSCA-RISE-2016;Research and Innovation Staff Exchange
30634;768598;ERC-2017-PoC;ERC-Proof of Concept
30635;101024269;MSCA-IF-2020;Individual Fellowships
30636;716761;ERC-2016-STG;ERC Starting Grant
30637;101025259;MSCA-IF-2020;Individual Fellowships
30638;949852;ERC-2020-STG;ERC STARTING GRANTS
30639;704334;MSCA-IF-2015-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30640;725850;ERC-2016-COG;ERC Consolidator Grant
30641;894536;MSCA-IF-2019;Individual Fellowships
30642;714239;ERC-2016-STG;ERC Starting Grant
30643;101028770;MSCA-IF-2020;Individual Fellowships
30644;101027828;MSCA-IF-2020;Individual Fellowships
30645;101023443;MSCA-IF-2020;Individual Fellowships
30646;886651;MSCA-IF-2019;Individual Fellowships
30647;890648;MSCA-IF-2019;Individual Fellowships
30648;101003023;ERC-2020-COG;ERC CONSOLIDATOR GRANTS
30649;101030712;MSCA-IF-2020;Individual Fellowships
30650;845674;MSCA-IF-2018;Individual Fellowships
30651;844795;MSCA-IF-2018;Individual Fellowships
30652;833548;ERC-2018-ADG;ERC Advanced Grant
30653;874825;SC1-HCO-01-2018-2019-2020;Actions in support of the International Consortium for Personalised Medicine
30654;826278;SU-TDS-02-2018;Toolkit for assessing and reducing cyber risks in hospitals and care centres to protect privacy/data/infrastructures
30655;754422;MSCA-COFUND-2016;Co-funding of regional, national and international programmes
30656;830454;EIC-SMEInst-2018-2020;SME instrument
30657;808131;SMEInst-02-2016-2017;Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs
30658;801540;MSCA-COFUND-2017;Co-funding of regional, national and international programmes
30659;101001242;ERC-2020-COG;ERC CONSOLIDATOR GRANTS
30660;639795;ERC-StG-2014;ERC Starting Grant
30661;964883;FETOPEN-01-2018-2019-2020;FET-Open Challenging Current Thinking
30662;657716;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30663;822968;EIC-SMEInst-2018-2020;SME instrument
30664;841957;MSCA-IF-2018;Individual Fellowships
30665;763310;SMEInst-05-2016-2017;Supporting innovative SMEs in the healthcare biotechnology sector
30666;648894;ERC-CoG-2014;ERC Consolidator Grant
30667;742349;ERC-2016-ADG;ERC Advanced Grant
30668;660067;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30669;859055;EIC-SMEInst-2018-2020;SME instrument
30670;854915;EIC-SMEInst-2018-2020;SME instrument
30671;873387;EIC-SMEInst-2018-2020;SME instrument
30672;747120;MSCA-IF-2016;Individual Fellowships
30673;952594;WIDESPREAD-06-2020;ERA Chairs
30674;101031565;MSCA-IF-2020;Individual Fellowships
30675;739622;INNOSUP-02-2016;European SME innovation Associate - pilot
30676;752310;MSCA-IF-2016;Individual Fellowships
30677;950050;ERC-2020-STG;ERC STARTING GRANTS
30678;706102;MSCA-IF-2015-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30679;702888;MSCA-IF-2015-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30680;748829;MSCA-IF-2016;Individual Fellowships
30681;828207;EIC-SMEInst-2018-2020;SME instrument
30682;763250;SMEInst-08-2016-2017;Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth
30683;728382;SMEInst-12-2016-2017;New business models for inclusive, innovative and reflective societies
30684;729773;SMEInst-07-2016-2017;Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors
30685;683435;PHC-12-2015-1;Clinical research for the validation of biomarkers and/or diagnostic medical devices
30686;712119;BG-12-2015-1;Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth
30687;815059;EIC-SMEInst-2018-2020;SME instrument
30688;101027911;MSCA-IF-2020;Individual Fellowships
30689;829698;EIC-SMEInst-2018-2020;SME instrument
30690;887661;MSCA-IF-2019;Individual Fellowships
30691;726799;SMEInst-08-2016-2017;Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth
30692;849793;EIC-SMEInst-2018-2020;SME instrument
30693;947886;ERC-2020-STG;ERC STARTING GRANTS
30694;872770;EIC-SMEInst-2018-2020;SME instrument
30695;855988;EIC-SMEInst-2018-2020;SME instrument
30696;729360;SMEInst-07-2016-2017;Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors
30697;683861;SFS-08-2015-1;Resource-efficient eco-innovative food production and processing
30698;887860;EIC-SMEInst-2018-2020;SME instrument
30699;891511;MSCA-IF-2019;Individual Fellowships
